question,debate_name,experiment_name
How did the Mafia come to be in business on Mars?,Mars Confidential,Experiment 2-A
What is normal about the Incompletes?,Name Your Symptom,Experiment 2-A
What is the significance of the story's title?,Counterweight,Experiment 2-A
How many different Martian cons did Matheny speak of to Gus?,Innocent at Large,Experiment 2-B
What would have happened if Allen's blaster had not run out of charge?,Survival Tactics,Experiment 2-B
What is the Brightside?,Brightside Crossing,Experiment 2-B
Why is Gus engaged in space fighting?,Mr. Meek Plays Polo,Experiment 2-B
How did Burnett die?,Morgue Ship,Experiment 2-B
What is Rolf's new plan when he spots the rocket?,The Hairy Ones,Experiment 2-B
What was the author's purpose in describing the feeling the hypnotizing music evoked in such detail every time that it played?,Pied Piper of Mars,Experiment 2-B
How did Magnan feel about his reconnaissance assignment?,Mightiest Qorn,Experiment 2-B
How does the Dean feel about Caswell?,The Snowball Effect,Experiment 2-B
Why does the Captain decide to save Gorman?,Jinx Ship to the Rescue,Experiment 2-B
"Why doesn’t Wayne like his parents?
",The Recruit,Experiment 2-B
Which is the best deccription of why the humans are feared by other alien races?,Upstarts,Experiment 2-B
What is the name of the first person to talk to Mia on Tintera?,Down to the Worlds of Men,Experiment 2-B
How does Pop feel about Sattell?,Scrimshaw,Experiment 2-B
"Of his fellow crew members, who does David seem to have the most concern for and why?",Captain Chaos,Experiment 2-B
Why is it significant that the aliens only differ from humans in one physical characteristic?,Second Landing,Experiment 2-B
Why were the reports for the Robling company bad?,Meeting of the Board,Experiment 3
Who did Manet like the best?,How to Make Friends,Experiment 3
Which is the best description of why Julia and the narrator decide not to report their bags stolen?,The Little Red Bag,Experiment 3
Which word doesn't describe Tolliver?,Tolliver's Orbit,Experiment 3
Why did Junior land the ship so roughly?,The Gravity Business,Experiment 3
Why did the physicist and anthropologist travel to Uxen?,The Princess and the Physicist,Experiment 3
What happens that completely confirms Schwartzberg's theory?,The Great Nebraska Sea,Experiment 3
How does the Cosmic Express Ray work?,The Cosmic Express,Experiment 3
What is the relationship like between Caldwell and Johnson?,The Conjurer of Venus,Experiment 3
Who were the horde members?,Spawning Ground,Experiment 3
What is the storyline of Come Closer?,Peggy Plays Off-Broadway,Experiment 3
"O'Rielly starts to talk about ""venus dames"" unprompted and acting strangely. Why?",Image of Splendor,Experiment 3
Which is the best description of the relationship between the Doc and the captain?,Gourmet,Experiment 3
Why does the narrator only want one bed?,Confidence Game,Experiment 3
Why did the Wazzenazzian feel that he would be beneficial as an employee to the recruiter?,Birds of a Feather,Experiment 3
Why does Forbes want to take Purnie?,Beach Scene,Experiment 3
Who is the man climbing the mountain?,Accidental Death,Experiment 4
How did Ned become a mummy?,The Eternal Wall,Experiment 4
How did the warden handle the 2 men who wanted back into Dreamland?,No Substitutions,Experiment 4
Which is the most accurate description of the relationship between Gerri and Lane?,Mutineer,Experiment 4
How did Retief beat Hoshick?,Retief of the Red-Tape Mountain,Experiment 4
Why doesn't the narrator want to tell anyone about his experiments?,Volpla,Experiment 4
Why didn't the Tepoktans seize Al Birken after he stole the vehicle?,Exile,Experiment 4
Why does Macklin have objections to going back?,The Big Headache,Experiment 4
What do you think life is like for Mary and Phil after the events of the story?,Breakaway,Experiment 4
What is the Boyar's ultimate goal for Flamme?,The Desert and the Stars,Experiment 4
Why did the bank robbers end up crashing? ,Call Him Nemesis,Experiment 5
Why does Starre lay claim to the asteroid?,Cosmic Yo-Yo,Experiment 5
Why couldn't Baxter use his own bathroom?,Break a Leg,Experiment 5
Why was Erica unhappy when Dan was describing his six previous wives?,The Man Who Was Six,Experiment 5
"Where do the creatures from another world come from?
",Silence is—Deadly,Experiment 5
What phrase mostly closely captures why the Martian who attacks Dennis seems to hate him so much?,The Soul Eaters,Experiment 5
"Between Martians and Humans, who seems to have a more advanced civilization?",Doorway to Kal-Jmar,Experiment 5
"For humans, what is the most dangerous part of the trip to the moon?",Jaywalker,Experiment 5
Why is Alice so relaxed when she finds out there is no incubator aboard the space station?,Spatial Delivery,Experiment 5
Why is it bad to be considered a Reader?,Juvenile Delinquent,Experiment 5
Why does the Tr'en's logic fail them?,Lost in Translation,Experiment 5
"What is Simon referring to when he says ""now it comes"" to Betty during their discussion at the beginning of the story?",Unborn Tomorrow,Experiment 5
Why did the workers weld appendages to the Cleopatra?,The Starbusters,Experiment 5
Why did Kimball's marriage end?,The Hills of Home,Experiment 5
Why did the monster stop crawling by day?,Strange Exodus,Experiment 5
Why was Maitland kidnapped?,Ambition,Experiment 5
Who is the murderer for which Bo listens for footsteps?,Out of the Iron Womb!,Experiment 5
Which is the most accurate description of why Xeon is in trouble?,The Birds and the Bees,Experiment 5
What likely happened to the squid once the Marco departed?,The Anglers of Arz,Experiment 5
What can be inferred about the size of the ship the characters travelled in?,Planet of No-Return,Experiment 5
What is the significance of the story's title?,...After a Few Words...,Experiment 5
Why does Thig change his mind about the invasion?,Quest of Thig,Experiment 6
What caused the plague on earth?,The Last Monster,Experiment 6
Who is getting William in trouble with his parents?,Charity Case,Experiment 6
Why does Evans give up his drinking water?,All Day September,Experiment 6
What was the ultimate outcome of letting the Grzdnth take repreive Earth?,PRoblem,Experiment 6
Why will the group be out of the mouse business by the fall?,Junior Achievement,Experiment 6
The explorers note the metal band around the city and assume that it is there for defense.  What is ironic about the way they opt to proceed?,Dust Unto Dust,Experiment 6
Why didn't Moran kill Harper?,Planet of Dread,Experiment 6
How would Asa's decision on where to become a changeling been affected if the pay range to work as a muck man on Jordan's Planet was not as high as it was originally listed in the article?,Muck Man,Experiment 6
Who does Chapman want to visit when he returns to Earth?,The Reluctant Heroes,Experiment 6
What does the colonel seem to think about the bomb situation at the mental institution?,A Filbert Is a Nut,Experiment 6
What central difference between the planets Gloryanna and Mypore is most important to the story? Why is this significant to Hannah and the narrator?,Cakewalk to Gloryanna,Experiment 6
"Based on the context of the story, on which day was the package received to the home?",Rattle OK,Experiment 6
What impression can be made about Don’s feelings towards Alis?,And Then the Town Took Off,Experiment 6
Where is the ship sailing?,Voyage to Far N'jurd,Experiment 6
How did Ledman get to Mars?,The Hunted Heroes,Experiment 6
Why can't the crew radio the Earth for help?,The Dope on Mars,Experiment 7
Why does Gile volunteer for the ship in the end?,The Dwindling Years,Experiment 7
"In the end, what is the relationship between the humans and the alien races?",The Stoker and the Stars,Experiment 7
How do most of the humans on Earth feel about Dameri Tass’s arrival?,Off Course,Experiment 7
Why does Pop prefer Dick's help with the spaceship more than Bobby's?,Castaways of Eros,Experiment 7
Why was Dan determined to wait so long for the thieves?,The Star-Sent Knaves,Experiment 7
What was the stoolie's job?,Jupiter's Joke,Experiment 7
"Who wanted to mine Lovenbroy’s minerals?
",Cultural Exchange,Experiment 7
What is something Glmpauszn and Joe don't have in common?,A Gleeb for Earth,Experiment 7
Which lingering effect of the Ryzgas' downfall makes life challenging for people like Var and Neena?,When the Mountain Shook,Experiment 7
Why doesn't Extrone shoot the farn beasts?,Hunt the Hunter,Experiment 7
What was special or impressive about Gertrude?,The Blue Behemoth,Experiment 7
"Though the robots were the main issue at the hotel, was human error still an issue in Harper's overall stay?",Hagerty's Enzymes,Experiment 7
Who seems to be the only person that Orison seems to trust at the bank?,Cinderella Story,Experiment 7
"What is the significance of the players’ names?
",The 64-Square Madhouse,Experiment 8a
How does the CPA prevent crime?,Pick a Crime,Experiment 8a
Did the questions Tremaine needed answers to get resolved?,The Long Remembered Thunder,Experiment 8a
Which is the best summary of this story?,Monopoly,Experiment 8a
"Who is the protagonist of the story and what is their main objective?
",Homecoming,Experiment 8a
What is the main reason that Gubelin is so resentful of Si’s decision?,Spaceman on a Spree,Experiment 8a
What isn't something the guest expects the younger man to do?,...And It Comes Out Here,Experiment 8a
Which best describes the relationship between the protagonists?,The Monster Maker,Experiment 8a
Why does no one on town know who Haron Gorka is?,Pen Pal,Experiment 8a
What characteristic of Zotul does he believe he shares with the Earthmen? ,A Gift from Earth,Experiment 8a
What shocked Myles the most when he woke up on the beach?,The Radio Planet,Experiment 8a
"Who is Teena and what role does she play in Chapter one and chapter two?
",Atom Mystery [Young Atom Detective],Experiment 8a
"What is the significance of the narrator’s height?
",Warrior of Two Worlds,Experiment 8a
Why was Socks a part of this story?,Peggy Finds the Theatre,Experiment 8a
What characteristics best describe Captain Llud in the present part of the story?,The Giants Return,Experiment 8a
Why did Kalvin continue researching on his own at home?,The Super Opener,Experiment 8a
Why did Frank shoot his new client at the beginning of the story?,The Perfectionists,Experiment 8b
Why did the Earth doctor use the mortar and pestle?,Rx,Experiment 8b
Who are the Karna?,In Case of Fire,Experiment 8b
What likely happened to Koroby after the story ended?,Stranger From Space,Experiment 8b
"What would best describe Madison's attitude towards Professor Parnell upon learning Parnell's reasoning for calling the people of Granite City ""subhuman""?",Dangerous Quarry,Experiment 8b
How does Bergstrom feel about Zarwell?,Monkey On His Back,Experiment 8b
What is Paul doing in Tangier?,I'm a Stranger Here Myself,Experiment 8b
Why is Conners upset with Bridges?,The Delegate from Venus,Experiment 8b
Which description is the best representation of Yrtok's role in the story?,The Talkative Tree,Experiment 8b
How did Ninon’s travel companion fare?,Time and the Woman,Experiment 8b
Why did Edith greet her husband the way she did when he returned home?,The First One,Experiment 8b
Which statement best describes how Read changes throughout the story?,The Green Beret,Experiment 8b
What is the definition of truth to the Thrid?,Manners and Customs of the Thrid,Experiment 8b
Which best describes the relationship between Russell and Dunbar?,To Each His Star,Experiment 8b
Why didn't the narrator provide the leprechauns with the correct equation?,Houlihan's Equation,Experiment 8b
What likely happened to the squid once the Marco departed?,The Anglers of Arz,Experiment 4
Why did the bank robbers end up crashing? ,Call Him Nemesis,Experiment 4
What is the Boyar's ultimate goal for Flamme?,The Desert and the Stars,Experiment 5
Why does Macklin have objections to going back?,The Big Headache,Experiment 5
Which is the most accurate description of the relationship between Gerri and Lane?,Mutineer,Experiment 5
What do you think life is like for Mary and Phil after the events of the story?,Breakaway,Experiment 5
How did Retief beat Hoshick?,Retief of the Red-Tape Mountain,Experiment 5
Why doesn't the narrator want to tell anyone about his experiments?,Volpla,Experiment 5
How did Ned become a mummy?,The Eternal Wall,Experiment 5
How did the warden handle the 2 men who wanted back into Dreamland?,No Substitutions,Experiment 5
Why was Maitland kidnapped?,Ambition,Experiment 4
Why is Alice so relaxed when she finds out there is no incubator aboard the space station?,Spatial Delivery,Experiment 4
What is the significance of the story's title?,...After a Few Words...,Experiment 4
What can be inferred about the size of the ship the characters travelled in?,Planet of No-Return,Experiment 4
Why is it bad to be considered a Reader?,Juvenile Delinquent,Experiment 4
"Where do the creatures from another world come from?
",Silence is—Deadly,Experiment 4
What phrase mostly closely captures why the Martian who attacks Dennis seems to hate him so much?,The Soul Eaters,Experiment 4
Which is the most accurate description of why Xeon is in trouble?,The Birds and the Bees,Experiment 4
Why couldn't Baxter use his own bathroom?,Break a Leg,Experiment 4
"What is Simon referring to when he says ""now it comes"" to Betty during their discussion at the beginning of the story?",Unborn Tomorrow,Experiment 4
Why did Kimball's marriage end?,The Hills of Home,Experiment 4
"For humans, what is the most dangerous part of the trip to the moon?",Jaywalker,Experiment 4
Why did the monster stop crawling by day?,Strange Exodus,Experiment 4
Who is the murderer for which Bo listens for footsteps?,Out of the Iron Womb!,Experiment 4
Why was Erica unhappy when Dan was describing his six previous wives?,The Man Who Was Six,Experiment 4
Why does Starre lay claim to the asteroid?,Cosmic Yo-Yo,Experiment 4
Why does the Tr'en's logic fail them?,Lost in Translation,Experiment 4
Why did Harvey and Joe have such a large tab and the bar that was ran by Johnson?,Grifters' Asteroid,Experiment 4
Why did the workers weld appendages to the Cleopatra?,The Starbusters,Experiment 4
"Between Martians and Humans, who seems to have a more advanced civilization?",Doorway to Kal-Jmar,Experiment 4
What characteristics best describe Captain Llud in the present part of the story?,The Giants Return,Experiment 8a_v1
"What is the significance of the players’ names?
",The 64-Square Madhouse,Experiment 8a_v1
"What is the significance of the narrator’s height?
",Warrior of Two Worlds,Experiment 8a_v1
What isn't something the guest expects the younger man to do?,...And It Comes Out Here,Experiment 8a_v1
How does the CPA prevent crime?,Pick a Crime,Experiment 8a_v1
Which best describes the relationship between the protagonists?,The Monster Maker,Experiment 8a_v1
What shocked Myles the most when he woke up on the beach?,The Radio Planet,Experiment 8a_v1
Did the questions Tremaine needed answers to get resolved?,The Long Remembered Thunder,Experiment 8a_v1
Why did Kalvin continue researching on his own at home?,The Super Opener,Experiment 8a_v1
Which is the best summary of this story?,Monopoly,Experiment 8a_v1
Why does no one on town know who Haron Gorka is?,Pen Pal,Experiment 8a_v1
What characteristic of Zotul does he believe he shares with the Earthmen? ,A Gift from Earth,Experiment 8a_v1
Why was Socks a part of this story?,Peggy Finds the Theatre,Experiment 8a_v1
"Who is the protagonist of the story and what is their main objective?
",Homecoming,Experiment 8a_v1
"Who is Teena and what role does she play in Chapter one and chapter two?
",Atom Mystery [Young Atom Detective],Experiment 8a_v1
What is the main reason that Gubelin is so resentful of Si’s decision?,Spaceman on a Spree,Experiment 8a_v1
What was the device that Bob Wills had invented?,The Rumble and the Roar,Experiment 8c
Who put Granthan's leg in a walking brace?,End as a Hero,Experiment 8c
What was the purpose of the interview questions?,Lex,Experiment 8c
Why were Henry and the protagonist puzzled after winning in the card game?,The Non-Electronic Bug,Experiment 8c
Why did the boy want to get in a lifeboat?,Venus is a Man's World,Experiment 8c
What conclusion does the protagonist come to after his encounter with the police?,The Air of Castor Oil,Experiment 8c
How is the relationship between the Martians and the humans?,The Moons of Mars,Experiment 8c
What is Pashkov’s assignment?,The Cool War,Experiment 8c
Why didn't the Tepoktans seize Al Birken after he stole the vehicle?,Exile,Experiment 5
How many of her grandchildren did Mrs.Perkins spend time with during the story?,Grandma Perkins and the Space Pirates,Experiment 8c
Why did Max need to be the one to use the machine?,Of All Possible Worlds,Experiment 8c
Why was Joey moving the stars?,To Remember Charlie By,Experiment 8c
How many people are left alive on Earth?,A Pail of Air,Experiment 8c
Why did Dr. Harris call Braun?,One-Shot,Experiment 8c
The inventors of the gadget are targeting who to buy it?,Toy Shop,Experiment 8c
What was the main reason for hydrogen being substituted for helium?,Bread Overhead,Experiment 8c
How did Parks end up on Morgan's planet?,Circus,Experiment 8c
